ao,clave_ent,edo,homicidio,robocasa,robocalle,robocarro,extorsion,tasa_hom,tasa_rcasa,tasa_rcalle,tasa_rcarro,tasa_extor,desocupa,edad15a24,edad25a34,edad35a44,edad45mas,pob_tot,pibe,ingreso,pob_ext,pobreza
2017,12,Guerrero,2868,449,442,4653,175,79.35,12.42,12.23,128.74,4.84,1.668789983,670384,540589,429318,881459,3614241,234094.1875,103954,24.54,65.4
2018,12,Guerrero,2716,362,169,4055,202,74.83,9.97,4.66,111.72,5.57,1.279217958,668812,548126,432404,898142,3629733,240983.7188,108444,26.77,66.47
2019,12,Guerrero,2032,307,236,3251,259,55.76,8.42,6.48,89.22,7.11,1.549433947,667150,554975,435867,914790,3643974,237902.8125,,,
2015,13,Hidalgo,651,1990,161,2976,42,22.45,68.63,5.55,102.64,1.45,3.830065966,513924,442522,389128,735508,2899495,258695.0469,140553,10.86,53.22
2016,13,Hidalgo,653,2040,187,3614,80,22.22,69.42,6.36,122.98,2.72,3.147156954,515375,449921,394306,759793,2938756,268833.625,139436,8.02,50.62
2017,13,Hidalgo,700,2771,755,4808,133,23.51,93.08,25.36,161.51,4.47,2.934166908,517645,457015,398788,783437,2976979,270118.0625,141841,5.75,47.25
2018,13,Hidalgo,733,2722,752,5190,142,24.32,90.3,24.95,172.18,4.71,2.783276081,520086,463657,403230,807314,3014258,277326.4688,150282,6.07,43.85
2019,13,Hidalgo,646,2853,1163,4259,210,21.18,93.52,38.12,139.61,6.88,2.438405991,522747,469744,407841,831333,3050720,274489,,,
2015,14,Jalisco,1736,4753,2254,8793,831,21.8,59.69,28.3,110.42,10.44,4.705458164,1460212,1278136,1068332,1921298,7963314,1104884.875,211795,2.2,33.31
2016,14,Jalisco,2027,8004,11327,16537,675,25.16,99.36,140.6,205.28,8.38,3.76146698,1463318,1300320,1081517,1978345,8055955,1149129.5,212427,1.8,31.81
2017,14,Jalisco,2109,10431,17801,24326,556,25.88,128,218.44,298.51,6.82,2.793188095,1464139,1321332,1094983,2040803,8149170,1176616,215316,2.05,30.36
2018,14,Jalisco,2763,8335,16100,23663,778,33.54,101.17,195.41,287.21,9.44,2.686537027,1464374,1340810,1108589,2103896,8238991,1207897.5,218304,2.97,28.43
2019,14,Jalisco,2760,6777,15289,19903,742,33.15,81.4,183.63,239.05,8.91,2.984848022,1464607,1358285,1122866,2167367,8325800,1215491.25,,,
2015,15,Mexico,2957,5565,8057,47457,644,17.92,33.73,48.83,287.62,3.9,5.51937294,2964996,2690606,2365512,4070146,16500000,1445183.5,168678,7.07,49.53
2016,15,Mexico,2810,5310,7900,42261,993,16.83,31.8,47.31,253.06,5.95,5.275800228,2966434,2729796,2390203,4231257,16700000,1485467.5,160237,6.15,47.88
2017,15,Mexico,3249,9267,19929,47197,1385,19.22,54.83,117.92,279.27,8.2,4.096765041,2965199,2768064,2412609,4387427,16900000,1556926,152263,5.19,45.37
2018,15,Mexico,3340,8601,20969,54742,1629,19.53,50.3,122.63,320.13,9.53,4.15723896,2962432,2803427,2434856,4544375,17100000,1605830.875,150123,4.9,42.72
2019,15,Mexico,3469,9021,18395,47498,2487,20.17,52.45,106.95,276.15,14.46,4.479268074,2959081,2834788,2458179,4701247,17200000,1571911.125,,,
2015,16,Michoacan,2041,1927,1074,7565,43,43.94,41.49,23.12,162.87,0.93,3.201231956,849068,712736,584093,1131984,4644732,386038.375,179598,12.03,58.55
2016,16,Michoacan,2356,1765,864,7598,18,50.29,37.67,18.44,162.18,0.38,2.721659899,845733,723969,589594,1158346,4684829,402111.9688,174051,9.39,55.34
2017,16,Michoacan,2246,1992,891,8267,21,47.57,42.19,18.87,175.08,0.44,2.622674942,841788,733543,594970,1186304,4721848,414856.5938,171094,7.07,50.78
2018,16,Michoacan,2276,2023,820,7782,3,47.84,42.52,17.24,163.57,0.06,2.182142973,838144,741861,600529,1214330,4757482,424377.5313,172902,6.06,46.04
2019,16,Michoacan,2625,1855,721,6998,2,54.78,38.71,15.05,146.04,0.04,2.746762037,835181,748690,606563,1242352,4791977,425515.7813,,,
2015,17,Morelos,851,2475,2037,3502,172,44.08,128.2,105.52,181.4,8.91,3.369452953,345747,302059,258471,517579,1930505,187472.3906,133309,7.13,51.76
2016,17,Morelos,833,2285,1760,3667,67,42.61,116.9,90.04,187.6,3.43,2.684076071,346188,307890,260822,533426,1954717,194412.0781,133647,5.92,49.54
2017,17,Morelos,828,2323,1342,3265,43,41.86,117.45,67.85,165.07,2.17,2.05479002,345635,313569,263310,548595,1977946,203238.5,139186,5.56,48.33
2018,17,Morelos,1000,1976,1061,3372,24,49.99,98.77,53.04,168.56,1.2,2.128482103,344823,318854,265965,563785,2000527,201363.2344,150941,7.37,50.82
2019,17,Morelos,1162,1821,829,3285,184,57.45,90.03,40.99,162.42,9.1,2.38180995,343920,323592,268941,578948,2022568,197465.9375,,,
2015,18,Nayarit,147,453,0,262,1,12.3,37.89,0,21.92,0.08,5.458353043,213340,184171,157114,294916,1195482,114063,176238,7.79,38.23
2016,18,Nayarit,84,217,0,221,5,6.92,17.87,0,18.19,0.41,4.124588013,214555,188254,159597,303437,1214627,119473.2422,177662,7.93,37.53
2017,18,Nayarit,289,92,0,280,1,23.43,7.46,0,22.7,0.08,3.414302111,215628,192374,162027,312974,1233716,121000.1172,178449,7.69,36.88
2018,18,Nayarit,446,84,0,918,4,35.61,6.71,0,73.3,0.32,4.013053894,216718,196266,164509,322655,1252363,120495.125,178553,5.88,34.77
2019,18,Nayarit,270,113,0,412,4,21.25,8.89,0,32.42,0.31,3.925626993,217941,199843,167149,332449,1270646,120450.0469,,,
2015,19,Nuevo Leon,988,2845,1837,2134,509,18.98,54.65,35.29,41,9.78,4.625144958,925318,848395,754646,1310954,5205425,1228082.5,329548,0.86,17.2
2016,19,Nuevo Leon,1171,3446,1858,2960,626,22.12,65.09,35.09,55.91,11.82,4.197507858,935467,863231,762685,1359430,5294203,1257648.375,401182,0.61,14.25
2017,19,Nuevo Leon,1099,3043,1437,2715,678,20.45,56.61,26.73,50.51,12.61,3.803009033,941922,878227,769788,1410084,5375246,1306549.125,411233,0.51,12.89
2018,19,Nuevo Leon,1284,2978,1441,1422,536,23.54,54.59,26.42,26.07,9.83,3.537406921,947195,893180,776777,1461140,5454848,1353874.5,288318,0.47,14.53
2019,19,Nuevo Leon,1454,2600,1140,1460,509,26.28,46.99,20.6,26.39,9.2,3.495848894,951720,907675,784108,1512312,5533147,1379248.25,,,
2015,20,Oaxaca,416,262,179,544,33,10.35,6.52,4.45,13.53,0.82,2.96125102,727604,595447,499272,1014682,4019224,260612.9063,106105,28.66,69.33
2016,20,Oaxaca,1541,1170,1285,2961,53,38.08,28.91,31.76,73.17,1.31,2.035280943,725387,604608,504331,1037092,4046494,256580.3438,103772,26.88,70.4
2017,20,Oaxaca,1662,1155,1514,3131,80,40.81,28.36,37.18,76.88,1.96,2.209095001,724764,612408,508439,1059192,4072328,250518.625,102915,24.56,69.54
2018,20,Oaxaca,1743,1305,1726,3068,130,42.54,31.85,42.13,74.88,3.17,1.53906405,724391,619487,512562,1081381,4096998,260440.8906,106327,23.26,66.35
2019,20,Oaxaca,1853,1487,1897,3101,131,44.97,36.09,46.04,75.25,3.18,1.786579013,724371,625725,516955,1103609,4120741,252169.6094,,,
2015,21,Puebla,1206,2610,1932,3652,273,19.22,41.6,30.79,58.2,4.35,3.301683903,1181106,977415,804556,1460604,6274482,540604.125,139458,12.76,62.2
2016,21,Puebla,1206,2098,1216,5316,122,19,33.06,19.16,83.77,1.92,3.011565924,1185222,995294,815241,1503841,6345952,555309.0625,137999,8.96,59.44
2017,21,Puebla,1647,2459,1824,11314,115,25.68,38.34,28.44,176.41,1.79,2.748464108,1187964,1012286,825093,1548051,6413391,589080.25,137135,6.88,57.83
2018,21,Puebla,1983,2204,1688,13860,168,30.61,34.02,26.05,213.93,2.59,2.589546919,1190044,1028489,834909,1592807,6478819,603702.6875,137302,8.64,58.92
2019,21,Puebla,1663,2652,2730,13401,192,25.42,40.54,41.73,204.83,2.93,2.720546961,1191834,1043507,845132,1637927,6542484,600719.4375,,,
2015,22,Queretaro,447,2417,1129,3872,6,21.6,116.79,54.55,187.09,0.29,4.860350132,392132,349718,287243,459934,2069556,362418.9063,213643,3.39,32.79
2016,22,Queretaro,422,3282,1655,4880,11,19.96,155.27,78.3,230.87,0.52,4.534903049,396093,359639,293907,479921,2113731,377947.875,227068,2.92,31.12
2017,22,Queretaro,471,3852,1976,5738,18,21.84,178.65,91.64,266.12,0.83,4.341846943,398347,368809,300693,501343,2156167,395109.8125,234968,2.45,29.33
2018,22,Queretaro,490,3929,2000,6165,104,22.29,178.76,90.99,280.49,4.73,3.861047983,400133,377515,307500,523251,2197938,406635.6563,216233,1.96,27.58
