ao	clave_ent	edo	homicidio	robocasa	robocalle	robocarro	secuestro	pob_tot
2016	26	"Sonora"	1068	3084	368	3986	5	2.9e+06
2017	26	"Sonora"	1149	904	303	4029	2	3.0e+06
2018	26	"Sonora"	1157	487	143	3471	2	3.0e+06
2019	26	"Sonora"	1421	866	196	3020	12	3.0e+06
2015	27	"Tabasco"	685	2509	9017	2251	78	2.4e+06
2016	27	"Tabasco"	699	2410	9057	3580	85	2.5e+06
2017	27	"Tabasco"	888	2399	7658	5475	77	2.5e+06
2018	27	"Tabasco"	1001	2299	6414	7007	103	2.5e+06
2019	27	"Tabasco"	996	2270	5813	4221	40	2.5e+06
2015	28	"Tamaulipas"	1383	3640	127	6658	230	3.5e+06
2016	28	"Tamaulipas"	1513	2850	515	4492	155	3.5e+06
2017	28	"Tamaulipas"	1620	2832	305	5345	140	3.6e+06
2018	28	"Tamaulipas"	1607	2450	169	4298	109	3.6e+06
2019	28	"Tamaulipas"	1453	2213	213	3091	31	3.6e+06
2015	29	"Tlaxcala"	323	1135	458	1248	8	1.3e+06
2016	29	"Tlaxcala"	363	892	352	1468	5	1.3e+06
2017	29	"Tlaxcala"	319	537	300	2341	8	1.3e+06
2018	29	"Tlaxcala"	172	267	182	2284	3	1.3e+06
2019	29	"Tlaxcala"	193	130	57	1998	14	1.4e+06
2015	30	"Veracruz de Ignacio de la Llave"	1008	2684	1205	6144	97	8.2e+06
2016	30	"Veracruz de Ignacio de la Llave"	1817	1828	1205	7560	132	8.3e+06
2017	30	"Veracruz de Ignacio de la Llave"	2688	2601	1730	10609	172	8.4e+06
2018	30	"Veracruz de Ignacio de la Llave"	2439	1999	1687	8719	175	8.4e+06
2019	30	"Veracruz de Ignacio de la Llave"	2185	2177	2100	6515	298	8.5e+06
2015	31	"Yucatán"	104	2540	308	288	0	2.1e+06
2016	31	"Yucatán"	110	1753	194	404	1	2.2e+06
2017	31	"Yucatán"	85	1407	84	414	0	2.2e+06
2018	31	"Yucatán"	88	1395	90	301	0	2.2e+06
2019	31	"Yucatán"	133	1631	168	280	0	2.2e+06
2015	32	"Zacatecas"	357	895	50	2222	18	1.6e+06
2016	32	"Zacatecas"	609	529	35	2243	37	1.6e+06
2017	32	"Zacatecas"	690	707	62	2036	67	1.6e+06
2018	32	"Zacatecas"	700	697	55	1967	41	1.6e+06
2019	32	"Zacatecas"	666	604	38	1711	47	1.7e+06
